"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"581",579,"Robert Rich, Jr. ",81,"United States","frozen foods","Food & Beverage ","$4.9 B","$4.6 B","$4.4 B",NA,"$5.2 B","$4.00 B","$3.50 B","$3.20 B"
"582",579,"Thomas Schmidheiny ",76,"Switzerland","cement","Construction & Engineering ","$4.9 B","$4.8 B","$3.4 B","$4.55 B","$5 B","$4.70 B","$3.20 B","$5.50 B"
"583",579,"Alexandra Schoerghuber & family ",63,"Germany","real estate","Real Estate ","$4.9 B",NA,NA,NA,NA,NA,NA,NA
"584",579,"Erik Selin ",54,"Sweden","real estate","Real Estate ","$4.9 B","$3.9 B","$2 B",NA,"$1.9 B","$2.10 B","$2.10 B",NA
"585",579,"Daniel Tsai ",65,"Taiwan","finance","Finance & Investments ","$4.9 B","$3.4 B","$2.4 B",NA,"$3.2 B","$3.10 B","$2.40 B","$3.00 B"
"586",586,"Dona Bertarelli ",54,"Switzerland","biotech","Healthcare ","$4.8 B","$4.7 B","$4.3 B",NA,"$4.6 B","$4.40 B","$4.50 B","$4.60 B"
"587",586,"Andrei Guriev & family ",62,"Russia","fertilizers","Manufacturing ","$4.8 B","$6 B","$4.1 B",NA,NA,NA,NA,NA
"588",586,"Luciano Hang ",59,"Brazil","department stores","Fashion & Retail ","$4.8 B","$2.7 B","$3.6 B",NA,NA,NA,NA,NA
"589",586,"Hu Baifan ",59,"China","pharmaceuticals","Healthcare ","$4.8 B","$4.5 B","$2.6 B",NA,"$2.3 B","$1.10 B",NA,NA
"590",586,"Bidzina Ivanishvili ",66,"Georgia","investments","Finance & Investments ","$4.8 B","$4.8 B","$4.8 B","$5.2 B","$4.6 B","$4.50 B","$4.80 B","$5.20 B"
"591",586,"Yeow Chor & Yeow Seng Lee ",64,"Malaysia","palm oil, property","Food & Beverage ","$4.8 B",NA,NA,NA,NA,NA,NA,NA
"592",586,"Leng Youbin ",53,"China","infant formula","Food & Beverage ","$4.8 B","$10.6 B","$5.9 B",NA,NA,NA,NA,NA
"593",586,"Theo Mueller ",82,"Germany","dairy","Food & Beverage ","$4.8 B","$5.1 B","$4.2 B","$5.16 B","$4.4 B","$4.20 B","$4.50 B","$3.70 B"
"594",586,"Julian Robertson, Jr. ",89,"United States","hedge funds","Finance & Investments ","$4.8 B","$4.5 B","$4.4 B",NA,"$4.1 B","$3.80 B","$3.60 B","$3.40 B"
"595",586,"Marc Rowan ",59,"United States","private equity","Finance & Investments ","$4.8 B","$4 B","$3.2 B",NA,"$3.2 B","$2.70 B","$2.20 B","$2.50 B"
"596",586,"Emanuele (Lino) Saputo & family ",85,"Canada","cheese","Food & Beverage ","$4.8 B","$5.7 B","$3.8 B",NA,NA,NA,NA,NA
"597",586,"Jeff Skoll ",57,"United States","eBay","Technology ","$4.8 B","$6 B","$4.6 B","$4.84 B",NA,NA,NA,NA
"598",586,"Frank Wang ",41,"China","drones","Technology ","$4.8 B","$4.8 B","$4.8 B","$5.12 B","$3.2 B","$3.60 B","$3.60 B",NA
"599",586,"Wang Junlin ",59,"China","liquor","Food & Beverage ","$4.8 B","$6.3 B",NA,NA,NA,NA,NA,NA
"600",586,"Yang Shaopeng ",64,"China","shipping","Logistics ","$4.8 B","$3.6 B","$1.3 B",NA,"$1.2 B",NA,NA,NA
"601",601,"Maria Fernanda Amorim & family ",87,"Portugal","energy, investments","Diversified ","$4.7 B","$4.7 B","$3.8 B",NA,NA,NA,NA,NA
"602",601,"Leonid Boguslavsky ",70,"Russia","venture capital","Finance & Investments ","$4.7 B","$3.6 B","$1.5 B",NA,"$1.3 B","$1.10 B","$1.20 B",NA
"603",601,"Richard Branson ",71,"United Kingdom","Virgin","Diversified ","$4.7 B","$4.8 B","$3.4 B","$5.26 B","$5 B","$5.00 B","$4.90 B","$4.80 B"
"604",601,"Robert Brockman ",80,"United States","software","Technology ","$4.7 B","$6 B",NA,NA,NA,NA,NA,NA
"605",601,"Pierre Chen ",65,"Taiwan","electronics","Technology ","$4.7 B","$5.1 B","$2.9 B",NA,"$2.7 B","$2.00 B","$1.90 B","$2.00 B"
"606",601,"Chu Mang Yee & family ",62,"China","real estate","Real Estate ","$4.7 B","$6.5 B","$3.3 B",NA,NA,NA,NA,NA
"607",601,"Scott Cook ",69,"United States","software","Technology ","$4.7 B","$4.2 B","$2.9 B",NA,"$3.2 B","$2.30 B","$1.90 B","$1.90 B"
"608",601,"Mark Cuban ",63,"United States","online media, Dallas Mavericks","Media & Entertainment ","$4.7 B","$4.4 B","$4.3 B","$4.08 B","$3.7 B","$3.40 B","$3.20 B","$3.00 B"
"609",601,"Guenther Fielmann & family ",82,"Germany","optometry","Healthcare ","$4.7 B","$6 B","$4.1 B",NA,NA,NA,NA,NA
"610",601,"Martin Haefner ",68,"Switzerland","software, investments","Technology ","$4.7 B","$4.1 B","$3.2 B",NA,"$3 B","$2.70 B","$2.20 B","$2.70 B"
"611",601,"Johnelle Hunt ",90,"United States","trucking","Logistics ","$4.7 B","$3.9 B","$2.5 B",NA,"$3 B","$2.70 B","$2.10 B","$2.30 B"
"612",601,"Andre Koo, Sr. ",54,"Taiwan","financial services","Finance & Investments ","$4.7 B","$3.3 B","$1.5 B",NA,NA,NA,NA,NA
"613",601,"Lai Meisong ",51,"China","package delivery","Logistics ","$4.7 B","$7.3 B","$5.3 B",NA,"$3.1 B",NA,NA,NA
"614",601,"Richard Li ",55,"Hong Kong","telecom","Telecom ","$4.7 B","$4.5 B","$4.4 B","$4.56 B","$4.4 B","$4.40 B","$4.60 B","$4.50 B"
"615",601,"Mangal Prabhat Lodha ",66,"India","real estate","Real Estate ","$4.7 B","$1.3 B","$1.8 B",NA,"$3.7 B","$2.00 B","$2.30 B","$3.40 B"
"616",601,"Igor Olenicoff ",79,"United States","real estate","Real Estate ","$4.7 B","$4.5 B","$3.9 B","$4.13 B","$4.2 B","$3.70 B","$3.50 B","$3.60 B"
"617",601,"Mark Shoen ",71,"United States","U-Haul","Automotive ","$4.7 B","$3.9 B","$2.9 B","$4.01 B","$3.2 B","$2.90 B","$4.60 B","$4.60 B"
"618",601,"Andrei Skoch & family ",56,"Russia","steel","Metals & Mining ","$4.7 B","$8.6 B","$6.3 B",NA,NA,NA,NA,NA
"619",601,"Fred Smith ",77,"United States","FedEx","Logistics ","$4.7 B","$5.7 B","$2.7 B",NA,NA,NA,NA,NA
"620",601,"Murat Ulker ",63,"Turkey","food","Food & Beverage ","$4.7 B","$6.3 B","$4.3 B",NA,"$4.8 B","$3.70 B","$2.90 B","$4.40 B"
"621",601,"Yu Yong ",61,"China","mining","Finance & Investments ","$4.7 B","$5.3 B","$3 B",NA,"$4.9 B","$3.40 B","$2.50 B","$3.10 B"
"622",622,"Stéphane Bancel ",49,"France","biotech","Healthcare ","$4.6 B","$4.3 B",NA,NA,NA,NA,NA,NA
"623",622,"Bubba Cathy ",67,"United States","Chick-fil-A","Food & Beverage ","$4.6 B","$8.3 B","$3.4 B",NA,"$4.8 B","$3.80 B","$3.30 B","$3.20 B"
"624",622,"Dan Cathy ",69,"United States","Chick-fil-A","Food & Beverage ","$4.6 B","$8.3 B","$3.4 B",NA,"$4.8 B","$3.80 B","$3.30 B","$3.20 B"
"625",622,"Trudy Cathy White ",66,"United States","Chick-fil-A","Food & Beverage ","$4.6 B",NA,NA,NA,NA,NA,NA,NA
"626",622,"Jason Chang ",77,"Singapore","electronics","Technology ","$4.6 B","$5 B","$2.5 B",NA,"$2.9 B","$2.90 B","$2.40 B","$3.20 B"
"627",622,"Dagmar Dolby & family ",80,"United States","Dolby Laboratories","Technology ","$4.6 B","$5.5 B","$3.6 B",NA,NA,NA,NA,NA
"628",622,"Bruce Flatt ",56,"Canada","money management","Finance & Investments ","$4.6 B","$2.6 B","$1.9 B",NA,"$1.3 B","$1.30 B",NA,NA
"629",622,"Masatoshi Ito ",97,"Japan","retail","Fashion & Retail ","$4.6 B","$4 B","$3.1 B","$4.23 B","$3.9 B","$3.60 B","$3.60 B","$3.40 B"
"630",622,"Viatcheslav Kantor ",68,"Russia","fertilizer, real estate","Manufacturing ","$4.6 B","$4.5 B","$4 B",NA,"$3.7 B","$3.10 B","$2.50 B",NA
"631",622,"Min Kao & family ",73,"United States","navigation equipment","Technology ","$4.6 B","$4.5 B","$3.5 B",NA,NA,NA,NA,NA
"632",622,"Lin Xiucheng & family ",66,"China","electronics","Technology ","$4.6 B","$5 B","$3.3 B",NA,NA,NA,NA,NA
"633",622,"Sami Mnaymneh ",60,"United States","private equity","Finance & Investments ","$4.6 B","$4.5 B","$4 B",NA,NA,NA,NA,NA
"634",622,"Tony Tamer ",64,"United States","private equity","Finance & Investments ","$4.6 B","$4.5 B","$4 B",NA,NA,NA,NA,NA
"635",622,"Richard White ",67,"Australia","software","Technology ","$4.6 B","$3 B","$1.1 B",NA,"$1.6 B",NA,NA,NA
"636",622,"Baoguo Zhu & family ",59,"China","pharmaceuticals","Healthcare ","$4.6 B",NA,NA,NA,NA,NA,NA,NA
"637",637,"Michael Ashley ",57,"United Kingdom","sports retailing","Fashion & Retail ","$4.5 B","$2.4 B","$2.5 B",NA,"$3.6 B","$2.60 B","$3.50 B","$4.90 B"
"638",637,"Ron Baron ",78,"United States","money management","Finance & Investments ","$4.5 B","$4.5 B","$2.3 B",NA,"$2.2 B","$2.20 B","$2.00 B","$2.10 B"
"639",637,"Bert Beveridge ",60,"United States","vodka","Food & Beverage ","$4.5 B","$4.6 B","$3.2 B",NA,"$2.5 B",NA,NA,NA
"640",637,"Todd Boehly ",48,"United States","finance","Finance & Investments ","$4.5 B",NA,NA,NA,NA,NA,NA,NA
"641",637,"David Bonderman ",79,"United States","private equity","Finance & Investments ","$4.5 B","$4.1 B","$3.7 B",NA,"$2.6 B","$2.50 B","$2.50 B","$2.60 B"
"642",637,"Guo Guangchang ",55,"China","conglomerate","Diversified ","$4.5 B","$6.9 B","$4.4 B","$5.49 B","$8.1 B","$6.30 B","$5.00 B","$5.70 B"
"643",637,"Daryl Katz ",60,"Canada","pharmacies","Diversified ","$4.5 B","$3.6 B","$3.2 B",NA,"$3.1 B","$2.90 B","$3.20 B","$3.30 B"
"644",637,"Ted Lerner & family ",96,"United States","real estate","Real Estate ","$4.5 B","$4.8 B","$3.7 B",NA,NA,NA,NA,NA
"645",637,"Falguni Nayar ",59,"India","retailing","Fashion & Retail ","$4.5 B",NA,NA,NA,NA,NA,NA,NA
"646",637,"Trevor Rees-Jones ",70,"United States","oil & gas","Energy ","$4.5 B","$4 B","$3.7 B","$4.92 B","$4.8 B","$5.30 B","$5.20 B","$4.30 B"
"647",637,"J. Joe Ricketts & family ",80,"United States","TD Ameritrade","Finance & Investments ","$4.5 B","$3.7 B","$1.9 B",NA,NA,NA,NA,NA
"648",637,"Robert Rowling ",68,"United States","hotels, investments","Service ","$4.5 B","$3.9 B","$2.5 B","$9.5 B","$5.8 B","$6.20 B","$4.90 B","$5.40 B"
"649",637,"Mark Stevens ",62,"United States","venture capital","Finance & Investments ","$4.5 B","$3.7 B","$2.5 B",NA,"$2.5 B","$2.10 B","$1.80 B","$1.70 B"
"650",637,"Gustav Magnar Witzoe ",28,"Norway","fish farming","Food & Beverage ","$4.5 B","$4.4 B","$2.3 B",NA,"$1.9 B","$1.60 B","$1.10 B",NA
"651",637,"Xie Liangzhi & family ",56,"China","biotech","Healthcare ","$4.5 B","$2.2 B","$1.1 B",NA,NA,NA,NA,NA
"652",637,"Yeung Kin-man ",58,"Hong Kong","electronics","Manufacturing ","$4.5 B","$9.5 B","$4.1 B",NA,"$5.6 B","$4.30 B","$2.70 B",NA
"653",637,"Zhang Hejun ",64,"China","electronics","Manufacturing ","$4.5 B",NA,NA,NA,NA,NA,NA,NA
"654",654,"Andrej Babis ",67,"Czechia","agriculture","Food & Beverage ","$4.4 B","$3.5 B","$3.2 B",NA,"$4.6 B","$3.40 B","$2.50 B","$2.50 B"
"655",654,"Giuseppe De'Longhi & family ",82,"Italy","coffee makers","Fashion & Retail ","$4.4 B","$5.2 B","$3 B",NA,NA,NA,NA,NA
"656",654,"Barry Diller ",80,"United States","online media","Media & Entertainment ","$4.4 B","$4.2 B","$3 B","$4.67 B","$3.1 B","$2.80 B","$2.30 B","$2.30 B"
"657",654,"Christian Haub ",57,"Germany","retail","Fashion & Retail ","$4.4 B","$3 B","$3 B",NA,NA,NA,NA,NA
"658",654,"Huang Li ",58,"China","imaging systems","Technology ","$4.4 B","$6.1 B","$3.1 B",NA,NA,"$1.50 B","$1.30 B","$1.60 B"
"659",654,"Marian Ilitch ",89,"United States","Little Caesars","Food & Beverage ","$4.4 B","$3.7 B","$3.8 B","$6.44 B","$5.2 B","$6.00 B",NA,NA
"660",654,"Suleiman Kerimov & family ",56,"Russia","gold","Finance & Investments ","$4.4 B","$15.8 B","$10 B",NA,NA,NA,NA,NA
"661",654,"Edwin Leong ",70,"Hong Kong","real estate","Real Estate ","$4.4 B","$4.3 B","$4.5 B","$4.05 B","$3.5 B","$3.30 B","$3.90 B","$2.90 B"
"662",654,"Lu Yiwen ",35,"China","Luxury goods","Fashion & Retail ","$4.4 B",NA,NA,NA,NA,NA,NA,NA
"663",654,"N.R. Narayana Murthy ",75,"India","software services","Technology ","$4.4 B","$3.5 B","$1.9 B",NA,"$2.1 B","$1.80 B","$1.90 B","$2.10 B"
"664",654,"Yang Jianliang & family ",52,"China","machinery","Manufacturing ","$4.4 B","$2.4 B",NA,NA,NA,NA,NA,NA
"665",665,"Pyotr Aven ",67,"Russia","oil, banking, telecom","Finance & Investments ","$4.3 B","$5.3 B","$4.6 B",NA,"$5.1 B","$4.60 B","$4.60 B","$5.10 B"
"666",665,"Joesley Batista ",50,"Brazil","beef processing","Food & Beverage ","$4.3 B","$2.9 B","$2.1 B",NA,NA,NA,NA,NA
"667",665,"Wesley Batista ",49,"Brazil","beef packing","Food & Beverage ","$4.3 B","$2.9 B","$2.1 B",NA,NA,NA,NA,NA
"668",665,"Margot Birmingham Perot ",88,"United States","computer services, real estate","Technology ","$4.3 B","$4.1 B","$4 B",NA,NA,NA,NA,NA
"669",665,"Rick Caruso ",63,"United States","real estate","Real Estate ","$4.3 B","$4.2 B","$3.4 B",NA,"$3.9 B","$3.80 B","$3.50 B",NA
"670",665,"Jim Davis ",62,"United States","staffing & recruiting","Service ","$4.3 B","$3.4 B","$2.6 B","$8.2 B","$2.8 B","$2.50 B","$1.20 B","$1.10 B"
"671",665,"Walter P.J. Droege ",69,"Germany","investing","Finance & Investments ","$4.3 B","$4 B","$13 B",NA,"$10.3 B",NA,NA,NA
"672",665,"Dan Friedkin ",57,"United States","Toyota dealerships","Automotive ","$4.3 B","$4.1 B","$3.3 B",NA,"$4 B","$3.60 B","$3.50 B","$3.30 B"
"673",665,"Gao Dekang & family ",70,"China","apparel","Fashion & Retail ","$4.3 B","$3.8 B","$2.2 B",NA,NA,NA,NA,NA
"674",665,"Antti Herlin ",65,"Finland","elevators, escalators","Manufacturing ","$4.3 B","$6.5 B","$4.4 B","$4.24 B","$4.2 B","$3.50 B","$3.50 B","$3.60 B"
"675",665,"W. Herbert Hunt ",93,"United States","oil","Energy ","$4.3 B","$2 B","$1.4 B",NA,"$2.3 B","$2.00 B","$1.70 B","$1.70 B"
"676",665,"Jason Jiang ",49,"China","advertising","Media & Entertainment ","$4.3 B","$6.2 B","$2.7 B",NA,"$6.4 B","$4.00 B","$5.40 B",NA
"677",665,"Rupert Johnson, Jr. ",81,"United States","money management","Finance & Investments ","$4.3 B","$4.1 B","$3.2 B",NA,"$4.8 B","$5.10 B","$3.90 B","$6.20 B"
"678",665,"Vikram Lal & family ",80,"India","motorcycles","Automotive ","$4.3 B","$5 B",NA,NA,NA,NA,NA,NA
"679",665,"Lam Wai-ying ",64,"Hong Kong","smartphone screens","Manufacturing ","$4.3 B","$9.1 B",NA,NA,NA,NA,NA,NA
"680",665,"Chris Larsen ",61,"United States","cryptocurrency","Finance & Investments ","$4.3 B","$3.4 B","$2.6 B",NA,"$4.6 B",NA,NA,NA
"681",665,"Richard Schulze ",81,"United States","Best Buy","Fashion & Retail ","$4.3 B","$4.7 B","$3.4 B",NA,"$4 B","$3.20 B","$2.40 B","$2.90 B"
"682",665,"Paul Singer ",77,"United States","hedge funds","Finance & Investments ","$4.3 B","$4.3 B","$3.5 B",NA,"$2.9 B","$2.70 B","$2.20 B","$1.90 B"
"683",665,"Barry Sternlicht ",61,"United States","private equity","Finance & Investments ","$4.3 B","$3.7 B","$3 B",NA,NA,NA,NA,NA
"684",665,"Su Hua ",40,"China","video streaming","Media & Entertainment ","$4.3 B","$17.8 B","$2.9 B",NA,NA,NA,NA,NA
"685",665,"Mark Walter ",61,"United States","finance","Finance & Investments ","$4.3 B","$4.7 B","$2.7 B",NA,"$2.8 B","$2.50 B","$2.20 B","$1.90 B"
"686",665,"Ty Warner ",77,"United States","plush toys, real estate","Real Estate ","$4.3 B","$3.6 B","$2.6 B",NA,"$2.7 B","$2.50 B","$2.40 B","$2.40 B"
"687",687,"Rinat Akhmetov ",55,"Ukraine","steel, coal","Metals & Mining ","$4.2 B","$7.6 B","$2.4 B","$5.81 B","$5.5 B","$4.60 B","$2.30 B","$6.70 B"
"688",687,"Martin & Olivier Bouygues ",64,"France","construction, media","Construction & Engineering ","$4.2 B","$4.6 B","$3 B",NA,"$4.9 B","$3.70 B","$3.60 B","$3.60 B"
"689",687,"Bernard Broermann ",78,"Germany","hospitals","Healthcare ","$4.2 B","$5 B","$2.7 B",NA,"$4.7 B","$3.30 B","$4.30 B","$2.70 B"
"690",687,"Mong-Koo Chung ",84,"South Korea","Hyundai","Automotive ","$4.2 B","$6 B","$2.5 B",NA,NA,NA,NA,NA
"691",687,"Daniel D'Aniello ",75,"United States","private equity","Finance & Investments ","$4.2 B","$3.8 B","$2.9 B",NA,"$2.8 B","$2.50 B","$2.30 B","$2.90 B"
"692",687,"Traudl Engelhorn & family ",95,"Germany","pharmaceuticals, medical equipment","Healthcare ","$4.2 B","$4.2 B","$4 B",NA,NA,NA,NA,NA
"693",687,"Piero Ferrari ",76,"Italy","automobiles","Automotive ","$4.2 B","$4.1 B","$3 B",NA,"$2.7 B","$1.60 B","$1.00 B",NA
"694",687,"Carlo Fidani ",67,"Canada","real estate","Real Estate ","$4.2 B","$3.2 B","$2.1 B",NA,"$2.4 B","$2.00 B","$1.90 B","$1.90 B"
"695",687,"Yakir Gabay ",55,"Cyprus","real estate","Real Estate ","$4.2 B","$4.4 B","$3.2 B",NA,"$3.1 B","$1.70 B",NA,NA
"696",687,"Jaime Gilinski Bacal ",64,"Colombia","banking","Finance & Investments ","$4.2 B","$3.8 B","$3.4 B","$4.47 B","$3.7 B","$3.50 B","$3.10 B","$3.10 B"
"697",687,"Bertil Hult ",81,"Sweden","education","Service ","$4.2 B","$4.2 B","$5 B","$8.23 B","$4.5 B","$4.00 B","$4.00 B","$5.00 B"
"698",687,"Martha Ingram & family ",86,"United States","book distribution, transportation","Media & Entertainment ","$4.2 B","$3.5 B","$4.4 B",NA,NA,NA,NA,NA
"699",687,"Lee Yin Yee ",70,"China","glass","Manufacturing ","$4.2 B","$4.3 B","$1.8 B",NA,"$1.5 B",NA,NA,NA
"700",687,"Daniel Loeb ",60,"United States","hedge funds","Finance & Investments ","$4.2 B","$3.5 B","$2.8 B",NA,"$3.2 B","$2.90 B","$2.60 B","$2.50 B"
"701",687,"Janice McNair ",85,"United States","energy, sports","Sports ","$4.2 B","$4.1 B","$4 B",NA,NA,NA,NA,NA
"702",687,"Ajay Piramal ",66,"India","pharmaceuticals","Healthcare ","$4.2 B","$4 B","$1.7 B","$4.38 B","$4.9 B","$3.70 B","$1.80 B","$2.00 B"
"703",687,"Lynsi Snyder ",39,"United States","In-N-Out Burger","Food & Beverage ","$4.2 B","$3.6 B","$3.6 B",NA,"$1.2 B",NA,NA,NA
"704",687,"Peter Spuhler ",62,"Switzerland","train cars","Manufacturing ","$4.2 B","$2.2 B","$1.3 B",NA,"$2.3 B","$2.00 B","$1.10 B","$2.20 B"
"705",687,"Kerry Stokes ",81,"Australia","construction equipment, media","Diversified ","$4.2 B","$4.3 B","$2 B",NA,"$3.1 B","$1.80 B",NA,"$1.20 B"
"706",687,"Jon Stryker ",63,"United States","medical equipment","Healthcare ","$4.2 B","$4.1 B","$2.7 B",NA,"$2.9 B","$2.50 B","$1.90 B","$2.00 B"
"707",687,"Vincent Viola ",66,"United States","electronic trading","Finance & Investments ","$4.2 B","$3.7 B","$2 B",NA,"$2.9 B","$2.00 B","$1.90 B","$1.70 B"
"708",687,"Romesh T. Wadhwani ",74,"United States","software","Technology ","$4.2 B","$3.5 B","$3.4 B",NA,"$3.1 B","$3.00 B","$2.80 B","$2.50 B"
"709",709,"Juan Domingo Beckmann Legorreta & family ",54,"Mexico","tequila","Food & Beverage ","$4.1 B",NA,NA,NA,NA,NA,NA,NA
"710",709,"Rafael Del Pino ",63,"Spain","construction","Construction & Engineering ","$4.1 B","$3.9 B",NA,"$4.17 B",NA,NA,NA,NA
"711",709,"Sergey Dmitriev ",56,"Russia","computer software","Technology ","$4.1 B","$3.8 B",NA,NA,NA,NA,NA,NA
"712",709,"Senapathy Gopalakrishnan ",67,"India","software services","Technology ","$4.1 B","$3.3 B","$1.8 B",NA,"$1.8 B","$1.60 B","$1.60 B","$1.90 B"
"713",709,"James Irving ",94,"Canada","diversified","Diversified ","$4.1 B","$4.2 B","$4.5 B",NA,"$8.3 B","$7.60 B","$5.40 B","$6.50 B"
"714",709,"Lee Boo-jin ",51,"South Korea","Samsung","Service ","$4.1 B","$1.8 B","$1.2 B",NA,"$2 B","$1.60 B","$1.90 B","$2.20 B"
"715",709,"Samuel Tak Lee ",82,"Hong Kong","real estate","Real Estate ","$4.1 B","$3.6 B","$3.6 B",NA,"$4.1 B","$3.00 B","$3.10 B","$2.90 B"
"716",709,"Thai Lee ",63,"United States","IT provider","Technology ","$4.1 B","$3.2 B","$3 B",NA,"$1.6 B","$1.60 B",NA,NA
"717",709,"Eric Lefkofsky ",52,"United States","Groupon, investments","Technology ","$4.1 B","$4.3 B","$2.7 B",NA,"$2.2 B","$1.90 B","$1.40 B","$1.70 B"
"718",709,"Weiguo Li ",57,"China","construction materials","Manufacturing ","$4.1 B",NA,NA,NA,NA,NA,NA,NA
"719",709,"Ermirio Pereira de Moraes & family ",89,"Brazil","diversified","Diversified ","$4.1 B",NA,NA,NA,NA,NA,NA,NA
"720",709,"Maria Helena Moraes Scripilliti & family ",91,"Brazil","diversified","Diversified ","$4.1 B",NA,NA,NA,NA,NA,NA,NA
"721",709,"Augusto & Giorgio Perfetti ",64,"Italy","candy","Food & Beverage ","$4.1 B","$5.8 B","$4.1 B",NA,"$6.6 B","$5.80 B","$5.70 B","$6.00 B"
"722",709,"Thomas Secunda ",67,"United States","Bloomberg LP","Media & Entertainment ","$4.1 B","$3.5 B","$3 B",NA,"$2.6 B","$2.40 B","$2.00 B","$1.80 B"
"723",709,"Shaul Shani ",67,"Israel","telecom","Telecom ","$4.1 B","$3.8 B","$3.8 B",NA,"$3.4 B","$3.30 B","$3.20 B","$3.00 B"
"724",709,"E. Joe Shoen ",72,"United States","U-Haul","Automotive ","$4.1 B","$3.5 B","$2.4 B",NA,"$2.7 B","$2.50 B","$1.10 B","$1.10 B"
"725",709,"Steven Udvar-Hazy ",76,"United States","aircraft leasing","Service ","$4.1 B","$4.3 B","$3.9 B",NA,"$3.9 B","$3.70 B","$3.50 B","$3.70 B"
"726",709,"Russ Weiner ",51,"United States","energy drinks","Food & Beverage ","$4.1 B","$3.7 B","$4 B",NA,"$4.4 B","$4.00 B","$3.40 B","$2.10 B"
"727",709,"Guanjiang Wu & family ",53,"China","pharmaceuticals","Healthcare ","$4.1 B",NA,NA,NA,NA,NA,NA,NA
"728",728,"Anil Agarwal & family ",68,"India","mining, metals","Metals & Mining ","$4 B","$3.6 B","$3.1 B",NA,NA,NA,NA,NA
"729",728,"Somphote Ahunai ",54,"Thailand","renewable energy","Energy ","$4 B","$3.3 B","$1.5 B",NA,"$3.4 B","$1.20 B",NA,"$1.40 B"
"730",728,"Patrizio Bertelli ",76,"Italy","luxury goods","Fashion & Retail ","$4 B","$4.6 B","$2.2 B",NA,"$3.2 B","$3.20 B","$2.30 B","$4.10 B"
"731",728,"Rakesh Gangwal ",68,"United States","airline","Service ","$4 B","$3.9 B","$2.4 B",NA,"$3.3 B","$2.10 B","$1.90 B",NA
"732",728,"Paul Gauselmann & family ",87,"Germany","gambling","Gambling & Casinos ","$4 B","$3.9 B","$2.4 B",NA,NA,NA,NA,NA
"733",728,"Hao Hong ",66,"United States","pharmaceuticals","Healthcare ","$4 B","$3.1 B","$1.9 B",NA,NA,NA,NA,NA
"734",728,"He Xiaopeng ",44,"China","electric vehicles","Automotive ","$4 B","$5.5 B","$1.2 B",NA,NA,NA,NA,NA
"735",728,"Michael Herz ",78,"Germany","coffee","Fashion & Retail ","$4 B","$5.1 B","$4.8 B","$4.28 B","$5.4 B","$4.40 B","$3.80 B","$4.50 B"
"736",728,"Wolfgang Herz ",71,"Germany","coffee","Fashion & Retail ","$4 B","$5.1 B","$4.8 B","$4.28 B","$5.4 B","$4.40 B","$3.80 B","$4.50 B"
"737",728,"Arthur Irving ",92,"Canada","oil","Energy ","$4 B","$1.9 B","$2.5 B","$5.41 B","$3.5 B","$4.50 B","$4.70 B","$5.50 B"
"738",728,"Victor Jacobsson ",40,"Sweden","fintech","Finance & Investments ","$4 B","$2.7 B",NA,NA,NA,NA,NA,NA
"739",728,"Marc Ladreit de Lacharriere ",81,"France","finance","Finance & Investments ","$4 B","$4.9 B","$4.4 B",NA,"$3.7 B","$3.10 B","$2.40 B","$2.10 B"
"740",728,"Patrick Lee ",80,"Hong Kong","paper","Manufacturing ","$4 B","$5.1 B","$3.5 B",NA,"$4.6 B","$4.00 B","$2.40 B","$2.40 B"
"741",728,"Max Lytvyn ",42,"Canada","software","Technology ","$4 B",NA,NA,NA,NA,NA,NA,NA
"742",728,"Gilles Martin ",58,"France","laboratory services","Healthcare ","$4 B","$3.9 B","$2.2 B",NA,"$2.6 B","$1.90 B","$1.50 B","$1.20 B"
"743",728,"Ramzi Musallam ",53,"United States","private equity","Finance & Investments ","$4 B",NA,NA,NA,NA,NA,NA,NA
"744",728,"Georg Nemetschek & family ",88,"Germany","software","Technology ","$4 B","$4 B","$2.6 B",NA,NA,NA,NA,NA
"745",728,"Akio Nitori ",78,"Japan","home furnishings","Fashion & Retail ","$4 B","$5.2 B","$3.7 B",NA,"$4.4 B","$3.00 B","$2.00 B","$1.70 B"
"746",728,"Daniel Och ",61,"United States","hedge funds","Finance & Investments ","$4 B","$3.6 B","$3.1 B",NA,"$3.2 B","$3.20 B","$2.60 B","$3.80 B"
"747",728,"Pankaj Patel ",69,"India","pharmaceuticals","Healthcare ","$4 B","$5 B","$2.9 B",NA,"$5 B","$5.20 B","$3.50 B","$3.90 B"
"748",728,"John Paulson ",66,"United States","hedge funds","Finance & Investments ","$4 B","$3.5 B","$4.2 B","$5.48 B","$6.5 B","$7.90 B","$9.70 B","$11.20 B"
"749",728,"Miuccia Prada ",72,"Italy","luxury goods","Fashion & Retail ","$4 B","$4.6 B","$2.2 B",NA,"$3.2 B","$3.20 B","$2.30 B","$4.10 B"
"750",728,"Jean (Gigi) Pritzker ",59,"United States","hotels, investments","Service ","$4 B","$3.3 B","$2.3 B",NA,"$3 B","$2.50 B","$2.10 B","$2.50 B"
"751",728,"Juan Roig ",72,"Spain","supermarkets","Fashion & Retail ","$4 B","$4.2 B","$3.9 B",NA,"$4.5 B","$5.10 B","$5.40 B","$5.40 B"
